x,z,error
-0.72,0.05,0.00015342259186853447
-0.7,0.05,0.00013399176233471223
-0.6799999999999999,0.05,0.0001154645952280342
-0.6599999999999999,0.05,9.888999501409375e-05
-0.64,0.05,8.633962248186702e-05
-0.62,0.05,7.98545453371533e-05
-0.6,0.05,8.119694081287694e-05
-0.5800000000000001,0.05,8.985974285064612e-05
-0.56,0.05,0.0001034121325980147
-0.54,0.05,0.00011986291083926248
-0.52,0.05,0.00013771721181822478
-0.5,0.05,0.00015560390065174682
-0.48,0.05,0.00017304480736366593
-0.45999999999999996,0.05,0.00018962329210199988
-0.43999999999999995,0.05,0.00020519329080774098
-0.42000000000000004,0.05,0.00021928547438745854
-0.4,0.05,0.00023194203825803136
-0.38,0.05,0.00024313961825926672
-0.36,0.05,0.00025285576807728555
-0.33999999999999997,0.05,0.0002610932378988796
-0.31999999999999995,0.05,0.00026783947282728966
-0.29999999999999993,0.05,0.00027318810589603684
-0.28,0.05,0.0002771712418344556
-0.26,0.05,0.00028000793799302427
-0.24,0.05,0.0002815830861655934
-0.21999999999999997,0.05,0.00028193251104670065
-0.19999999999999996,0.05,0.0002814444652167494
-0.17999999999999994,0.05,0.0002795992519202577
-0.16000000000000003,0.05,0.000276944184009976
-0.14,0.05,0.00027318576956968956
-0.12,0.05,0.0002685816176075742
-0.09999999999999998,0.05,0.0002627759487343215
-0.07999999999999996,0.05,0.00025615789253627034
-0.05999999999999994,0.05,0.00024832919504727584
-0.040000000000000036,0.05,0.00023955259974597443
-0.020000000000000018,0.05,0.0002298627949429451
0.0,0.05,0.00021893996911602915
0.020000000000000018,0.05,0.00020729202147888638
0.040000000000000036,0.05,0.00019454287992287346
0.06000000000000005,0.05,0.00018089693089539744
0.08000000000000007,0.05,0.00016645010068318418
0.10000000000000009,0.05,0.0001512673786876693
0.1200000000000001,0.05,0.00013514885185298184
0.14000000000000012,0.05,0.00011851585653103269
0.15999999999999992,0.05,0.00010114954374681858
0.17999999999999994,0.05,8.342308057767588e-05
0.19999999999999996,0.05,6.516422226468645e-05
0.21999999999999997,0.05,4.655135819170217e-05
0.24,0.05,2.773019754179817e-05
0.26,0.05,9.054190431633548e-06
0.28,0.05,1.1274707429639148e-05
0.30000000000000004,0.05,3.0350217346526755e-05
0.32000000000000006,0.05,4.9566661773449915e-05
0.3400000000000001,0.05,6.87035188049698e-05
0.3600000000000001,0.05,8.769630481727596e-05
0.3800000000000001,0.05,0.00010638905626031822
0.40000000000000013,0.05,0.00012467701733631
0.41999999999999993,0.05,0.00014249868628882545
0.43999999999999995,0.05,0.00015988900470284478
0.45999999999999996,0.05,0.00017641370633534844
0.48,0.05,0.00019235208495437488
0.5,0.05,0.00020727298240138403
0.52,0.05,0.00022137090387484338
0.54,0.05,0.00023429088682778377
0.56,0.05,0.00024589760041933027
0.5800000000000001,0.05,0.00025617121870408785
0.6000000000000001,0.05,0.00026492342146406837
0.6200000000000001,0.05,0.0002718612551213436
0.6400000000000001,0.05,0.0002770839444105236
0.6600000000000001,0.05,0.00028030972269234197
0.6799999999999999,0.05,0.0002812546392989942
0.7,0.05,0.000279884172275452
0.72,0.05,0.0002761110299616991
0.74,0.05,0.00026972561681746485
0.76,0.05,0.00026048640945746396
0.78,0.05,0.0002483788755995213
0.8,0.05,0.00023344156851975707
0.8200000000000001,0.05,0.00021532840474979524
0.8400000000000001,0.05,0.00019424304252695852
0.8600000000000001,0.05,0.0001701836772799026
0.8800000000000001,0.05,0.00014325944109260536
0.9000000000000001,0.05,0.00011397408359149523
0.9199999999999999,0.05,8.348368206238063e-05
0.94,0.05,5.663535278145232e-05
0.96,0.05,4.897324795148584e-05
0.98,0.05,7.350481789459379e-05
1.0,0.05,0.0001142789099711318
-1.0,0.06,0.0002368764411828465
-0.98,0.06,0.0002416296117981807
-0.96,0.06,0.0002445267127219755
-0.94,0.06,0.00024521823650091814
-0.92,0.06,0.00024382963177520223
-0.9,0.06,0.000240116441273999
-0.88,0.06,0.000233820966677847
-0.86,0.06,0.00022528589582541372
-0.84,0.06,0.0002145251120146302
-0.8200000000000001,0.06,0.00020147834396367883
-0.8,0.06,0.00018642219850744876
-0.78,0.06,0.00016956476557337152
-0.76,0.06,0.00015118573875628946
-0.74,0.06,0.00013152577708534362
-0.72,0.06,0.00011109029536038874
-0.7,0.06,9.062403892891397e-05
-0.6799999999999999,0.06,7.147366949497001e-05
-0.6599999999999999,0.06,5.6410422745738674e-05
-0.64,0.06,5.0479532206876695e-05
-0.62,0.06,5.702805650318854e-05
-0.6,0.06,7.278582466769697e-05
-0.5800000000000001,0.06,9.285461485935831e-05
-0.56,0.06,0.00011453131691863502
-0.54,0.06,0.00013657635498610728
-0.52,0.06,0.00015803475061333525
-0.5,0.06,0.00017861841715859488
-0.48,0.06,0.00019806406149243736
-0.45999999999999996,0.06,0.0002158907859842785
-0.43999999999999995,0.06,0.00023224748573892422
-0.42000000000000004,0.06,0.0002467267870229594
-0.4,0.06,0.0002594360384995997
-0.38,0.06,0.0002705440456334671
-0.36,0.06,0.0002796032446269703
-0.33999999999999997,0.06,0.00028688328789436133
-0.31999999999999995,0.06,0.0002925254781517577
-0.29999999999999993,0.06,0.00029642327172873086
-0.28,0.06,0.00029870161869155113
-0.26,0.06,0.00029951511827519116
-0.24,0.06,0.0002988678139850454
-0.21999999999999997,0.06,0.000297060505007256
-0.19999999999999996,0.06,0.0002939405695840871
-0.17999999999999994,0.06,0.0002896516956562523
-0.16000000000000003,0.06,0.0002843023715061674
-0.14,0.06,0.00027790264168050605
-0.12,0.06,0.00027051404608071137
-0.09999999999999998,0.06,0.00026230239793636903
-0.07999999999999996,0.06,0.00025300733333954886
-0.05999999999999994,0.06,0.00024302526440820533
-0.040000000000000036,0.06,0.00023212039766634104
-0.020000000000000018,0.06,0.00022048168469237795
0.0,0.06,0.00020810251105172394
0.020000000000000018,0.06,0.00019486369238164305
0.040000000000000036,0.06,0.00018113245126392158
0.06000000000000005,0.06,0.0001667142078473882
0.08000000000000007,0.06,0.00015172683356224443
